Organization,Approval date,Country,Region,Project ID,Project Name,Total Project Cost (US$ milion),Contribution by organization (US$ million),Contribution by Organization (constant 2010 US$ million),Total exploratory phase (constant 2010 US$),Total production phase (constant 2010 US$),Total TA (constant 2010 US$),Total risk mitigation instruments (constant 2010 US$),Source ,Comments,Location 1
IDB,1977,Costa Rica,LCR,CR0031 ,Advantage Energy Geothermal Guanacaste,,4.1,11.79,0,11.79,0,,,"No details on the project, so it has been assumed that the full credit supported the production phase","(37.338208, -121.886329)"
IDB,1975,Costa Rica,LCR,TC7509055,"Geothermal Energy Utilization,guanacaste",,0.5,1.61,0,0,1.61,,,No further details on the components of the TC,"(37.338208, -121.886329)"
IDB,1986,Dominican Republic,LCR,TC8605109 ,"Cr's Coop, Geothermic Project Advisory",,0.01,0.02,0,0,0.02,,,,"(18.466667, -69.95)"
IDB,1985,Dominican Republic,LCR,TC8503212 , Evaluation of Geothermical Analysis,,0.03,0.05,0,0,0.05,,,,"(18.466667, -69.95)"
IDB,1994,El Salvador,LCR,ES0088,Energy Sector Expansion Program,332,159.5,218.62,0,212.04,6.58,,"Communication from: Alejandro Melandri
Energy Lead Specialist
Energy Division
Inter-American Development Bank (alejandrome@iadb.org)","This Project comprised of several components, three of which were related to geothermal projects or studies.  The first component was to finance the construction of the Berlín I geothermal power plant (55 MW installed capacity) with a cost of US$ 107.9 million.  The second relevant component under this project was the Rehabilitation & stabilization of the Ahuachapan geothermal power plant (34 MW installed capacity): US$ 46.8 million.  Lastly, a feasibility study was carried out for the construction of the Berlín II geothermal power plant which amounted to US$ 4.8 million. All of these components were executed and the aforementioned amounts were disbursed.","(13.69294, -89.218191)"
IDB,2002,Guatemala,LCR,TC0112130 ,Exploitation Geothermal Resources for Electricity Generation Projects,0.415,0.35,0.42,0,0,0.42,,,Promote the adoption of renewable energy by overcoming physical and institutional barriers to the utilization of geothermal energy through initiatives to increase the competitiveness of this type of energy and the development of a knowledge base and institutional framework that encourages investment in the sector.,"(14.613333, -90.535278)"
IDB,2004,Honduras,LCR,HO-T1004,Feasibility Study-Platanares Geothermal Project,,0.15,0.17,0,0,0.17,,,No details. The full amount has been assigned to TA activities,"(14.0833, -87.2167)"
IDB,2010,Mexico,LCR,ME-T1161 ,Assessment of Geothermal Potential in Mexico,,0.06,0.06,0,0,0.06,,,No details. The full amount has been assigned to TA activities,"(19.432608, -99.133208)"
IDB,2010,Nicaragua,LCR,NI-L1057 ,San Jacinto-Tizate Geothermal Power Project,216,40,40,0,40,0,,,"Phase 1 of the expansion involves construction of the powerhouse and installation of a 38.8 MW (gross) Fuji steam turbine at a cost of $152.2 million. Phase 2 consists of the drilling of additional production and injection wells, the building of steamfield infrastructure, and installation of an identical 38.8 MW turbine at a total cost of $177 million, including $20 million allocated for cost overruns, as required by the Phase 2 lenders","(12.136389, -86.251389)"
IDB,1994,Nicaragua,LCR,TC9405061 ,Momotombo Geothermal Field -Evaluation,,0.68,0.93,0.93,0,0,,,"estudios
geocientíficos (principalmente en
vulcanología y petrografía)","(12.136389, -86.251389)"
IDB,1998,Panama,LCR,TC9702491 ,Valle de Antón Geothermal Field (COFAB),,1.1,1.41,1.41,0,0,,,No details. The full amount has been assigned to exploratory activities based on the activities contemplated in a cancelled TC for the same field from 1996,"(8.983333, -79.516667)"
IDB,1983,Panama,LCR,TC8211279 ," Prefeasibility, Geothermic Complex",,1.29,2.43,2.43,0,0,,,,"(8.983333, -79.516667)"
IDB,1983,Panama,LCR,TC8211493 ,Study of Geothermical Inspection,,0.48,0.91,0,0,0.91,,,No details. Full amount has been assigned to the TA category,"(8.983333, -79.516667)"
EBRD,2015,Turkey,ECA,46809,Geothermal Development Lending Facility/ Early Stage Geothermal Support Framework,328,100,90.18,,90.18,,,,"$25 million CTF for exploratory drilling, EBRD $100 million for construction","(39.92077, 32.85411)"
EBRD,2015,Turkey,ECA,44596,EFELER GPP,970,150,135.27,,135.27,,,,"Senior loan to Gurmat Elektrik Uretim A.S. (Gurmat Elektrik or the Company) for the development of a greenfield 123.3MW geothermal power plant (GPP) located in the Aydin-Germencik province, in Turkey","(39.92077, 32.85411)"
CIF,2011,Kenya,AFR,,Menengai Geothermal,848,40,39.19,,38.21,0.98,,SREP,SREP finances production drilling and capacity building,"(-1.292066, 36.821946)"
CIF,2012,Ethiopia,AFR,,Geothermal Sector Development Project,216,26,25.02,,23.58,1.44,,SREP,SREP finances drilling consumables for production drilling in Aluto Langano,"(8.980603, 38.757761)"
CIF,2013,Tanzania,AFR,,Tanzania geothermal project,536.8,25,23.71,18.97,,4.74,,SREP," SREP contributes to geothermal strategy, institutional framework, capacity building, exploration, including test drilling, and advisory services for power project development","(-6.173056, 35.741944)"
CIF,2013,Indonesia,,,Geothermal Projects,4960,325,308.22,47.42,189.67,,71.13,CTF,"$125 million through WB (for production phase), $150 million through ADB (risk reductionto be mostly provided in advanced project stages - split 50/50 between production phase and risk mitigation instruments), $50 million through IFC (to finalize exploration phase)","(-6.208763, 106.845599)"
CIF,2015,Turkey,ECA,,Geothermal Development Lending Facility/ Early Stage Geothermal Support Framework,328,25,22.55,22.55,,,,DPSP,"CTF for exploratory drilling, EBRD $100 million for construction","(39.92077, 32.85411)"
CIF,2015,Armenia,ECA,,Geothermal Exploratory Drilling Project,10.68,8.55,7.71,7.26,,0.45,,SREP,Plus 300k PPG,
CIF,2015,Turkey,ECA,,Geothermal Development Project,290,40,0,,,,,DPSP,,"(39.92077, 32.85411)"
CIF,2013,Mexico,LCR,,Geothermal Financing and Risk Transfer Facility,1145.7,54.3,51.5,,29.87,2.66,18.97,"CTF, DPSP","$34.3 million from CTF IP ($31.5 million loan, $2.8 million grant) and $20 milion from DPSP (all grant)// IDB contributes 54.3 million and the GoM contributes about $11.5 million","(19.432608, -99.133208)"
CIF,2013,Chile,LCR,,Geothermal Risk Mitigation Facility,,53,50.27,,,2.85,47.42,"CTF, DPSP","$33 million from CTF IP ($27.7 million concessional loan/guarantee, $1.048 million grant funding, $1.252 million implementation and suppot services -- for IDB; and $3 million TA implemented by WB ) and $20 million CTF DPSP (concessional loan/ guarantee) -- Solutions could include senior and subordinated long term project loans, short
term bridge loans, and guarantees - the full allocation has been assigned to the ""risk mitigation instruments"" category","(-33.46912, -70.641997)"
IFC,,Nicaragua,LCR,27676,San Jacinto,60,60,60,,60,,,,"addition of another 72MW of capacity through 2 x 36MW Fuji flash turbines supported by further steam resource development  in the San Jacinto-Tizate geothermal concession covering a 40 km2 area near León, Nicaragua","(12.136389, -86.251389)"
IFC,,Philippines,EAP,25389,PNOC-Energy Development Corporation ,50,50,53.98,,53.98,,,,"PNOC-Energy Development Corporation (PNOC-EDC or the company) is an integrated geothermal steam and electric power producer with its core activities being the exploration, development, and production of geothermal energy. The company presently engages private-sector electric power generators to operate geothermal power plants on a build-operate-and transfer (BOT) basis for a specified 10-year concession period. IFC is planning to provide financial support to the company to assist them in their medium term capital expenditure program.","(14.599512, 120.984219)"
IFC,,Philippines,EAP,26529,PNOC-EDC Loan,100,100,102.65,,102.65,,,,The proposed IFC investment will be a $100 million A loan and potentially a $100 million B loan. The proceeds of the loans will be used to partially finance the companys medium term capital expenditure plan.,"(14.599512, 120.984219)"
IFC,,Philippines,EAP,29404,Energy Dev II,75,75,75,,75,,,,The proposed IFC investment will be a $75 million A loan and the potential mobilization of another $75M from bilateral sources. The proceeds of the loans will be used to partially finance the companys medium term capital expenditure plan.,"(14.599512, 120.984219)"
IFC,,Indonesia,EAP,TBC,Indonesia Geothermal Electricity Finance (IGEF) Program,,,0,,,,,,"CTF approved $50 million contribution in December, 2013","(-6.208763, 106.845599)"
EBRD,2012,Turkey,ECA,,Gümüsköy Geothermal Power Plant,46.5,24.9,23.97,,23.97,,,,"BM Holding invested up to USD 12m (24% of the total investment costs) in exploration and development prior to financial close, when debt financing of up to USD 34.5m (70% of the total costs) was secured from Yapikredi, a local commercial bank. Yapikredi sourced USD 24.9m of this debt from the Medium Size Sustainable Energy Finance Facility (MidSEFF), an on-lending facility managed by the European Bank for Reconstruction and Development ","(39.92077, 32.85411)"
EBRD,2012,Turkey,ECA,,Gümüsköy Geothermal Power Plant,46.5,24.9,23.97,,23.97,,,,"BM Holding invested up to USD 12m (24% of the total investment costs) in exploration and development prior to financial close, when debt financing of up to USD 34.5m (70% of the total costs) was secured from Yapikredi, a local commercial bank. Yapikredi sourced USD 24.9m of this debt from the Medium Size Sustainable Energy Finance Facility (MidSEFF), an on-lending facility managed by the European Bank for Reconstruction and Development (EBRD)","(39.92077, 32.85411)"
WB,TBD,Kenya,AFR,P129910,"Menengai Geothermal - ""stopped"" for now",,,0,,0,,,,"IDA: Steam gathering system, transmission lines and substations, TA - no details on IDA allocation for each component; overall project drilling production wells (not exploratory wells). Other financing sources: SREP: $40 mill. (loan & grant), AfDB: $120 mill. (loan), AFD: 170 mill. (loan), EIB: $37 mill. (loan); GDC/MoE: $ 367 mill. (equity)","(-1.292066, 36.821946)"
EBRD,2012,Turkey,ECA,,Gümüsköy Geothermal Power Plant,46.5,24.9,,,23.97,,,,"BM Holding invested up to USD 12m (24% of the total investment costs) in exploration and development prior to financial close, when debt financing of up to USD 34.5m (70% of the total costs) was secured from Yapikredi, a local commercial bank. Yapikredi sourced USD 24.9m of this debt from the Medium Size Sustainable Energy Finance Facility (MidSEFF), an on-lending facility managed by the European Bank for Reconstruction and Development (EBRD)","(39.92077, 32.85411)"
